,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
626,2016-003990-17,Spain,Spain - AEMPS,2017-05-18,2018-12-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to evaluate the efficacy of intranasal esketamine 84 mg compared with intranasal placebo in addition to comprehensive standard of care in reducing the symptoms of MDD, including suicidal ideation, in subjects who are assessed to be at imminent risk for suicide, as measured by the change from baseline on the Montgomery-Asberg Depression Rating Scale (MADRS) total score at 24 hours post first dose. El objetivo principal es evaluar la eficacia de esketamina intranasal 84 mg, en comparación con placebo intranasal, junto con la asistencia integral convencional en la reducción de los síntomas del TDM, incluida la ideación suicida, en sujetos considerados en riesgo de suicidio inminente, según lo determinado por la variación respecto al momento basal en la puntuación total en la escala de evaluación de la depresión de Montgomery-Asberg (MADRS) a las 24 horas de la primera dosis.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
694,2014-004094-17,Netherlands,Netherlands - Competent Authority,2015-09-09,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To test the hypothesis that administration of cannabidiol as an augmentation step in combination with exposure therapy can strengthen treatment outcome in patients with phobic disorders (generalized social anxiety and panic disorder with agoraphobia) who do not respond satisfactorily to treatment as usual. Het testen van de hypothese dat het toevoegen van cannabidiol voorafgaand aan exposure behandeling de effectiviteit van de therapie vergroot bij patiënten met een gegeneraliseerde sociale fobie of paniekstoornis met agorafobie (die onvoldoende effect ondervonden van gebruikelijke zorg).,"Therapy, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
732,2015-003331-36,Spain,Austria - BASG,2015-12-04,2019-12-31,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To assess the safety profile of self-administered ADASUVE® outside the hospital setting in a population of patients that are known ADASUVE® responders and well trained on the use of the product, with a primary focus on serious adverse events (SAEs) and adverse events of special interest (AESI) related to ADASUVE®, including respiratory events.",Safety,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
734,2015-003331-36,Spain,Norway - NOMA,2015-12-14,2019-12-31,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To assess the safety profile of self-administered ADASUVE® outside the hospital setting in a population of patients that are known ADASUVE® responders and well trained on the use of the product, with a primary focus on serious adverse events (SAEs) and adverse events of special interest (AESI) related to ADASUVE®, including respiratory events.",Safety,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
853,2008-001876-67,United States,,2016-07-27,,,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the long-term safety and tolerability of DVS SR in the treatment of children and adolescents with MDD.,"Therapy, Safety",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
881,2018-002869-18,United Kingdom,UK - MHRA,2019-11-05,,GB - no longer in EU/EEA,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the clinical effectiveness of pramipexole versus placebo alongside standard mood stabilising medication, over 12 weeks, in the management of patients with treatment resistant bipolar depression.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
909,2019-003720-20,Croatia,Slovenia - JAZMP,2019-10-17,,Ongoing,Psychiatry and Psychology [F] - Behaviours [F01],"To assess smoking behavior, awareness of and interest in using pharmacotherapy for smoking cessation in primary care patients in Croatia and Slovenia",Prophylaxis,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
933,2019-001910-40,Netherlands,Netherlands - Competent Authority,2020-06-09,,Ongoing,Psychiatry and Psychology [F] - Behaviours [F01],The aim of the study is to examine whether oxytocin administration can improve the effectiveness of emotion recognition training in increasing emotion recognition skills in residential youth.,"Therapy, Efficacy",Therapeutic exploratory (Phase II),"Adolescents (12-17 years), Adults (18-64 years)",Male
934,2020-003972-42,United States,,2020-08-21,,,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary purpose of this study is to determine if ziprasidone is effective for the treatment of children and adolescents (ages 10-17) with bipolar I disorder (manic or mixed).,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
2359,2007-000577-38,United Kingdom,,2012-03-09,,,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this study was to evaluate the long-term (2-year) safety and tolerability of paliperidone ER in at least 100 adolescent subjects (12 to 17 years of age, inclusive) with schizophrenia.","Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
3392,2009-011238-84,France,Finland - Fimea,2011-04-15,2012-05-11,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Short-term efficacy (HAM-D) of 3 dose regimens of agomelatine versus placebo.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3453,2009-013030-25,United Kingdom,UK - MHRA,2010-03-17,2011-11-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To determine the sensitivity of blinded visual interpretations of [18F]flutemetamol PET images without anatomic brain images for detecting brain fibrillar Aβ assessed pathologically post-mortem.,"Diagnosis, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3497,2009-016713-20,France,Sweden - MPA,2010-03-01,2014-04-25,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of agomelatine compared to placebo on the reduction of Obsessive and Compulsive (OC) symptoms by using the Yale-Brown Obsessive Compulsive Scale (Y-BOCS) after 16 weeks of treatment in patients fulfilling DSM-IV-TR criteria for OCD.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
3506,2008-005260-14,Switzerland,Germany - BfArM,2008-09-15,2012-01-17,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To assess safety, tolerability including examination for potential negative effects on cognition of 12-month treatment with ACI-91 in patients with mild to moderate AD receiving a stable dose of an acetylcholinesterase inhibitor","Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
3511,2009-016713-20,United Kingdom,UK - MHRA,2010-03-17,2013-04-25,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of agomelatine compared to placebo on the reduction of Obsessive and Compulsive (OC) symptoms by using the Yale-Brown Obsessive Compulsive Scale (Y-BOCS) after 16 weeks of treatment in patients fulfilling DSM-IV-TR criteria for OCD.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
3841,2010-020470-42,Switzerland,Czechia - SUKL,2010-11-03,2014-04-14,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"• Evaluate efficacy of 24 weeks treatment with RO4917838 in the PANSS negative symptom factor score in patients with persistent, predominant negative symptoms of schizophrenia treated with antipsychotics. • Evaluate safety and tolerability of 24 weeks treatment with RO4917838 in patients with persistent, predominant negative symptoms of schizophrenia treated with antipsychotics.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
3872,2010-020470-42,Switzerland,Bulgarian Drug Agency,2010-12-17,2014-04-14,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"• Evaluate efficacy of 24 weeks treatment with RO4917838 in the PANSS negative symptom factor score in patients with persistent, predominant negative symptoms of schizophrenia treated with antipsychotics. • Evaluate safety and tolerability of 24 weeks treatment with RO4917838 in patients with persistent, predominant negative symptoms of schizophrenia treated with antipsychotics.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
3881,2010-021143-41,United States,Finland - Fimea,2010-11-09,2018-12-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this open-label study is to continue to provide aripiprazole IM Depot treatment (400 mg or 300 mg) to subjects with schizophrenia who completed the 52-week, open-label safety and tolerability Study 248. Subjects can receive this therapy until aripiprazole IM Depot is commercially available in any dosage [including generic formulation(s)] in the country where the study is being conducted, the commercial availability of aripiprazole IM Depot is terminated by the sponsor, or until the study end date of 31 Dec 2018 is reached.","Therapy, Safety",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3886,2010-021143-41,Belgium,Spain - AEMPS,2011-11-24,2018-12-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this open-label study is to continue to provide aripiprazole IM Depot treatment (400 mg or 300 mg) to subjects with schizophrenia who completed the 52-week, open-label safety and tolerability Study 248. Subjects can receive this therapy until aripiprazole IM Depot is commercially available in any dosage [including generic formulation(s)] in the country where the study is being conducted, the commercial availability of aripiprazole IM Depot is terminated by the sponsor, or until the study end date of 31 Dec 2018 is reached. El objetivo principal de este estudio abierto es continuar proporcionando el tratamiento con aripiprazolintramuscular (IM) de liberación retardada (400 mg o 300 mg) a sujetos con esquizofrenia que han completado el Estudio 31 08 248 abierto, de seguridad y tolerabilidad, de 52 semanas (en adelante llamado Estudio 248). Los sujetos pueden recibir este tratamiento hasta que el aripiprazol IM de liberación retardada esté comercializado en cualquier dosis (incluidas las formulaciones genéricas) en el país en el que se esté realizando el estudio o hasta que se alcance la fecha de finalización del estudio el 31 de diciembre de 2018.","Therapy, Safety",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
3904,2010-021143-41,United States,Estonia - SAM,2011-02-09,2018-12-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this open-label study is to continue to provide aripiprazole IM Depot treatment (400 mg or 300 mg) to subjects with schizophrenia who completed the 52-week, open-label safety and tolerability Study 248. Subjects can receive this therapy until aripiprazole IM Depot is commercially available in any dosage [including generic formulation(s)] in the country where the study is being conducted, the commercial availability of aripiprazole IM Depot is terminated by the sponsor, or until the study end date of 31 Dec 2018 is reached.","Therapy, Safety",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3917,2010-021143-41,United States,Hungary - National Institute of Pharmacy,2011-01-31,2018-12-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this open-label study is to continue to provide aripiprazole IM Depot treatment (400 mg or 300 mg) to subjects with schizophrenia who completed the 52-week, open-label safety and tolerability Study 248. Subjects can receive this therapy until aripiprazole IM Depot is commercially available in any dosage [including generic formulation(s)] in the country where the study is being conducted, the commercial availability of aripiprazole IM Depot is terminated by the sponsor, or until the study end date of 31 Dec 2018 is reached.","Therapy, Safety",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3918,2010-021143-41,United States,Bulgarian Drug Agency,2010-12-22,2018-12-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this open-label study is to continue to provide aripiprazole IM Depot treatment (400 mg or 300 mg) to subjects with schizophrenia who completed the 52-week, open-label safety and tolerability Study 248. Subjects can receive this therapy until aripiprazole IM Depot is commercially available in any dosage [including generic formulation(s)] in the country where the study is being conducted, the commercial availability of aripiprazole IM Depot is terminated by the sponsor, or until the study end date of 31 Dec 2018 is reached.","Therapy, Safety",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3976,2011-000210-19,Switzerland,Belgium - FPS Health-DGM,2011-04-22,2013-02-05,Completed,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],•To evaluate the long-term safety of Ritalin LA administered once daily for six months during open-label treatment in adults with ADHD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3990,2011-000210-19,Sweden,Sweden - MPA,2011-04-19,2013-02-05,Completed,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],•To evaluate the long-term safety of Ritalin LA administered once daily for six months during open-label treatment in adults with ADHD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
3995,2011-000210-19,Germany,Germany - BfArM,2011-04-07,2013-02-05,Completed,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],•To evaluate the long-term safety of Ritalin LA administered once daily for six months during open-label treatment in adults with ADHD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
4038,2011-002362-21,Denmark,Estonia - SAM,2011-10-06,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4039,2011-002362-21,Denmark,Austria - BASG,2011-11-17,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4042,2011-002362-21,Denmark,Poland - Office for Medicinal Products,2011-11-04,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4048,2011-002362-21,Denmark,UK - MHRA,2012-01-05,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the effects of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4059,2011-002362-21,Denmark,Bulgarian Drug Agency,2011-11-17,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4068,2011-002362-21,Denmark,Italy - Italian Medicines Agency,2012-03-08,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.  Confrontare, dopo 8 settimane di trattamento, l’efficacia di dosi flessibili di Lu AA21004 (da 10 a 20 mg/giorno) rispetto a dosi flessibili di agomelatina (da 25 a 50 mg/giorno) nei confronti dei sintomi depressivi in pazienti affetti da disturbo depressivo maggiore (MDD) con risposta inadeguata agli antidepressivi SRI (inibitori della ricaptazione della serotonina).","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4071,2011-002362-21,Denmark,Belgium - FPS Health-DGM,2012-02-02,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4076,2011-002362-21,Denmark,Germany - BfArM,2011-10-26,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4081,2011-002362-21,Denmark,Lithuania - SMCA,2011-10-18,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4083,2011-002362-21,Denmark,Spain - AEMPS,2011-10-28,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy. Comparar la eficacia de dosis flexibles de Lu AA21004 (10 a 20 mg/día) con la de dosis flexibles de agomelatina (25 a 50 mg/día), después de 8 semanas de tratamiento, sobre los síntomas depresivos en pacientes con TDM que han presentado respuesta insuficiente a la monoterapia con un antidepresivo IRS","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4094,2011-002362-21,Denmark,Czechia - SUKL,2011-10-18,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4097,2011-002362-21,Denmark,Sweden - MPA,2011-10-03,2012-12-20,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible doses of Lu AA21004 (10 to 20 mg/day) versus flexible doses of agomelatine (25 to 50 mg/day) after 8 weeks of treatment, on depressive symptoms in patients with Major Depressive Disorder (MDD) who have responded inadequately to Serotonin Reuptake Inhibitor (SRI) antidepressant monotherapy.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
4187,2012-000492-17,Netherlands,Netherlands - Competent Authority,2012-03-12,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this study is to explore the relationship between MPH and academic activity and the mediating roles of ADHD behaviours, cognitive deficits and motivational deficits in this relationship. Therefore, the direct effects of MPH on ADHD behaviours, cognitive deficits and motivational deficits are taken into account. In particular, evidence on the effects of MPH on motivational deficits in ADHD is scarce. It is hypothesized that treatment with MPH results in increased academic activity as compared to placebo control. If MPH improves academic activity, comparisons with the control group will be made to see if academic activity in children with ADHD normalises when treated with MPH.",Therapy,Therapeutic use (Phase IV),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
