,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
278,2015-004549-23,Germany,Czechia - SUKL,2016-05-13,2017-04-11,Completed,Diseases [C] - Nervous System Diseases [C10],"• to demonstrate the efficacy of 2 dose regimens of TEV-48125, as assessed by the decrease in the monthly average number of headache days of at least moderate severity during the 12-week period after the 1st dose of study drug relative to the baseline period • to evaluate the safety and tolerability of 2 dose regimens of TEV-48125 in the preventive treatment of CM","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
280,2015-004549-23,Germany,Finland - Fimea,2016-07-28,2017-04-11,Completed,Diseases [C] - Nervous System Diseases [C10],"• to demonstrate the efficacy of 2 dose regimens of TEV-48125, as assessed by the decrease in the monthly average number of headache days of at least moderate severity during the 12-week period after the 1st dose of study drug relative to the baseline period • to evaluate the safety and tolerability of 2 dose regimens of TEV-48125 in the preventive treatment of CM","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
301,2015-004549-23,Germany,Denmark - DHMA,2016-09-05,2017-04-11,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"• to demonstrate the efficacy of 2 dose regimens of TEV-48125, as assessed by the decrease in the monthly average number of headache days of at least moderate severity during the 12-week period after the 1st dose of study drug relative to the baseline period • to evaluate the safety and tolerability of 2 dose regimens of TEV-48125 in the preventive treatment of CM","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
306,2015-004549-23,Germany,Germany - PEI,2016-05-02,,Completed,Diseases [C] - Nervous System Diseases [C10],"• to demonstrate the efficacy of 2 dose regimens of TEV-48125, as assessed by the decrease in the monthly average number of headache days of at least moderate severity during the 12-week period after the 1st dose of study drug relative to the baseline period • to evaluate the safety and tolerability of 2 dose regimens of TEV-48125 in the preventive treatment of CM","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
311,2015-004549-23,Germany,Spain - AEMPS,2016-06-09,2017-04-11,Completed,Diseases [C] - Nervous System Diseases [C10],"• to demonstrate the efficacy of 2 dose regimens of TEV-48125, as assessed by the decrease in the monthly average number of headache days of at least moderate severity during the 12-week period after the 1st dose of study drug relative to the baseline period • to evaluate the safety and tolerability of 2 dose regimens of TEV-48125 in the preventive treatment of CM •demostrar la eficacia de 2 pautas posológicas de TEV-48125, evaluada mediante la reducción del número medio de días del mes con cefalea de al menos intensidad moderada durante el periodo de 12 semanas después de la 1a. dosis del fármaco del estudio en relación con el periodo inicial. •evaluar la seguridad y tolerabilidad de 2 pautas posológicas de TEV-48125 en el tratamiento preventivo de la MC","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
329,2015-005601-37,France,France - ANSM,2016-03-02,,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to investigate whether neuropathic pain symptoms (dynamic mechanical allodynia, pressure, hot and cold) have a different chronological improvement with 5LP compared to placebo. Evaluer l’évolution chronologique des symptômes allodyniques entre l’utilisation des patchs de Lidocaïne 5% comparée à l’utilisation de placebo avec différents tests (allodynie, test de pression et de température au chaud et froid).","Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
351,2016-002598-36,United Kingdom,UK - MHRA,2016-07-13,,Temporarily Halted,Diseases [C] - Nervous System Diseases [C10],To find out whether the addition of extended release guanfacine (GXR) to standard therapy in Alzheimer's disease is beneficial (improves thinking) in comparison to standard therapy on its own.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
352,2017-005034-36,Italy,Italy - Italian Medicines Agency,2020-11-04,,Ongoing,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to assess whether rituximab is effective in CIDP permitting to suspend immunoglobulin therapy without clinical worsening L'obiettivo primario dello studio ¿ valutare se nei pazienti con CIDP il trattamento con rituximab sia efficace nel prevenire il peggioramento della malattia dopo la sospensione di sei mesi di trattamento con immunoglobuline,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
355,2018-000142-18,Finland,Finland - Fimea,2018-05-08,,Ongoing,Diseases [C] - Nervous System Diseases [C10],The aim is to investigate the pharmacodynamics and feasibility of subcutaneously administered dexmedetomidine-ketamine-infusion in ALS patient receiving palliative care. The subjective ESAS (Edmonton Symptom Assessment Scale) will be measured. Tavoitteenamme on tutkia ihonalaisen deksmedetomidiini-ketamiini-infuusion farmakodynamiikkaa ja toteutettavuutta palliatiivista hoitoa saavilla ALS potilailla. Lääkettä annostellaan potilaiden tarpeen mukaan ja potilailta mitataan subjektiivisia oireita ESAS- (Edmonton Symptom Assesment Scale) asteikolla.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
369,2013-005099-17,United States,Estonia - SAM,2015-05-26,2019-02-14,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
371,2012-005723-33,Netherlands,Netherlands - Competent Authority,2014-10-01,2018-03-15,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"Brain injury due to different causes is common and can have severe functional impact. Frontal lesions often lead to cognitive impairments, but also to behavioural consequences, e.g. apathy, agitation, aggression, and emotional lability. Amantadine may be effective in the treatment of these cognitive and behavioural consequences. Anatomical and neurochemical theory support these findings and amantadine is clinically used albeit without the support of scientific evidence. The aim of this study is to find scientific evidence to support the clinical use of amantadine in the brain injured. hersenletsel door verschillende oorzaken komt veel voor en heeft een groot effect op het functioneren. Frontaal letsel leidt vaak tot cognitieve beperkingen maar ook tot gedragsproblemen. Amantadine zou effectief kunnen zijn in de behandeling van deze problemen. Anatomische en neurochemie theorieen ondersteunen deze vooronderstelling. Amantadine wordt klinisch gebruikt maar zonder de ondersteuning van wetenschappelijk bewijs. Het doel van dit onderzoek is wetenschappelijk bewijs te vergaren om daarmee het klinisch gebruik van amantadine te ondersteunen.","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
372,2016-002571-10,United Kingdom,Germany - BfArM,2017-07-11,2018-08-08,Completed,Diseases [C] - Nervous System Diseases [C10],Part 1 (Pilot Arm): To evaluate the safety and tolerability of MT-8554 to determine the dose level administered in Part 2.  Part 2 (Cross-over Arm): To evaluate the efficacy of MT-8554 in reducing pain intensity in subjects with painful DPN.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
373,2016-002571-10,United Kingdom,Poland - Office for Medicinal Products,2017-05-31,2018-08-08,Completed,Diseases [C] - Nervous System Diseases [C10],Part 1 (Pilot Arm): To evaluate the safety and tolerability of MT-8554 to determine the dose level administered in Part 2.  Part 2 (Cross-over Arm): To evaluate the efficacy of MT-8554 in reducing pain intensity in subjects with painful DPN.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
374,2013-005099-17,United States,Czechia - SUKL,2015-06-17,2019-02-14,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
376,2016-000778-40,Switzerland,Germany - BfArM,2016-07-21,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
377,2013-005099-17,United States,Germany - PEI,2015-07-28,2019-02-14,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
378,2016-000778-40,Switzerland,Belgium - FPS Health-DGM,2016-09-13,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of risdiplam in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of risdiplam measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
383,2015-004904-50,United Kingdom,Poland - Office for Medicinal Products,2017-04-04,2019-06-13,Completed,Diseases [C] - Nervous System Diseases [C10],"Pilot Phase: •To determine the maximum safe, tolerable dose and dosing regimen of GWP42003-P in infants with IS, to be utilized in the pivotal phase and open-label extension (OLE). •To assess the number and proportion of patients considered treatment responders, defined as those free of spasms and have resolution of hypsarrhythmia at the end of the 2-week treatment period. Pivotal Phase: •To assess the number and proportion of patients considered treatment responders, defined as those free of spasms and have resolution of hypsarrhythmia, at the end of the 2-week blinded treatment period versus placebo. OLE: •To assess the long term safety of GWP42003-P in infants with IS.","Safety, Efficacy",Therapeutic confirmatory (Phase III),Infants and toddlers (28 days-23 months),"Female, Male"
385,2016-000778-40,Switzerland,Poland - Office for Medicinal Products,2018-05-22,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
386,2013-005099-17,United States,Lithuania - SMCA,2015-05-25,2020-01-13,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
390,2013-005099-17,United States,Belgium - FPS Health-DGM,2016-01-15,2019-02-14,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
391,2016-000778-40,Switzerland,Croatia - MIZ,2018-12-07,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
393,2016-002571-10,United Kingdom,Hungary - National Institute of Pharmacy,2017-04-06,2018-08-08,Completed,Diseases [C] - Nervous System Diseases [C10],Part 1 (Pilot Arm): To evaluate the safety and tolerability of MT-8554 to determine the dose level administered in Part 2.  Part 2 (Cross-over Arm): To evaluate the efficacy of MT-8554 in reducing pain intensity in subjects with painful DPN.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
396,2016-000778-40,Switzerland,Italy - Italian Medicines Agency,2016-08-16,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
399,2016-000778-40,Switzerland,Spain - AEMPS,2016-08-05,,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2 Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment Parte 1 •Evaluar la seguridad, la tolerabilidad, la farmacocinética y la farmacodinámica de RO7034067 en lactantes con AME de tipo 1, y seleccionar la dosis para la parte 2. Parte 2 •Evaluar la eficacia de RO7034067 definida por la proporción de lactantes que pueden sentarse sin apoyo tras 12 meses de tratamiento","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
405,2013-005099-17,United States,Hungary - National Institute of Pharmacy,2015-05-26,2019-02-14,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the efficacy of IV infusions of IGIV-C as compared to Placebo in reducing the maintenance dosage of corticosteroids in corticosteroid (CS)-dependent subjects with MG when given as an initial loading dose (2 g/kg) followed by 12 maintenance doses (1 g/kg) every 3 weeks through Week 36 by assessing the percent of subjects achieving a 50% or greater reduction in CS dose(prednisone or equivalent) at Week 39 (Visit 14) from Baseline/Week 0 (Visit 1).,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
406,2016-000778-40,Switzerland,France - ANSM,2016-10-24,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"Part 1 •To evaluate the safety, tolerability, pharmacokinetics and pharmacodynamics of RO7034067 in infants with Type 1 SMA and to select the dose for Part 2  Part 2 •To assess the efficacy of RO7034067 measured as the proportion of infants sitting without support after 12 months of treatment","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Infants and toddlers (28 days-23 months),"Female, Male"
410,2015-002145-63,United Kingdom,UK - MHRA,2016-03-21,2018-04-03,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"STUDY HYPOTHESIS:  In Mild Cognitive Impairment (MCI)-due to Alzheimer's Disease (AD), systemic inflammation and elevated systemic levels of TNFα cause partially activated, or primed, microglial cells, to become fully activated, which can be modulated by the administration of a peripheral TNFα inhibitor, etanercept (Enbrel).  STUDY QUESTION:  Will the administration of a peripheral TNFα inhibitor, etanercept (Enbrel), over a 12 month treatment period, reduce microglial activation in patients with Mild Cognitive Impairment due to AD- Intermediate likelihood,compared to placebo?  The level of microglial activation will be directly measured with a specialist brain scan, which is called a [11C] (R)-PK-111-95 PET scan, at base-line and at the end of the 12 month treatment period.","Therapy, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
443,2015-002624-31,Netherlands,Netherlands - Competent Authority,2015-11-16,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"To evaluate the efficacy of IVIg treatment (4 courses of treatment, 3 weeks apart) compared to placebo by assessing changes on the mean weekly level of peak pain intensity (PI-NRS) compared to baseline scores. Evaluatie van de effectiviteit van IVIG behandeling (4 behandelingen, 3 weken ertussen) in vergelijking met een placebo, door the kijken naar het verschil in het gemiddelde wekelijkse niveau van de maximale pijn intensiteit (PI-NRS) in vergelijking met de baseline.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
448,2015-002965-43,Italy,Italy - Italian Medicines Agency,2018-02-02,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"to verify the potential clinical impact of dopaminergic agonists on cognitive functions in patients with mild AD. valutare nei pazienti con malattia di Alzheimer in fase iniziale il potenziale impatto clinico degli agonisti dopaminergici (Rotigotina,agonista del recettore D2-like) sulle funzioni cognitive","Therapy, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
451,2015-004901-18,United Kingdom,,2016-08-03,,,Diseases [C] - Nervous System Diseases [C10],"To provide confidence in the safety of LTG, as measured by the incidence of rash (including SJS and any other serious drug eruption) in the first 8 weeks of treatment, in Japanese patients with epilepsy when administered at the same starting doses and with the same dose escalation method as recommended overseas for patients taking VPA.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
491,2016-004952-30,Japan,,2017-02-13,,,Diseases [C] - Nervous System Diseases [C10],To evaluate that the efficacy of E2080 in percent change in tonic-atonic seizure frequency in participants with LGS relative to placebo.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
493,2015-001786-10,United States,Germany - BfArM,2016-04-07,2019-01-08,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effects of the study drug EPI-589 on safety as assessed by occurrence of drug-related serious adverse events in subjects with Parkinson's disease.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
497,2015-001786-10,United States,UK - MHRA,2015-11-23,2019-04-18,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effects of the study drug EPI-589 on safety as assessed by occurrence of drug-related adverse events in subjects with Parkinson's disease.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
504,2015-003512-20,Israel,Italy - Italian Medicines Agency,2020-11-05,,Completed,Diseases [C] - Nervous System Diseases [C10],"To assess the safety, tolerability and efficacy of Accordion Pill carbidopa/levodopa compared to Immediate Release carbidopa/levodopa in fluctuating Parkinson's Disease patients. Valutare la sicurezza, la tollerabilit¿ e l'efficacia della carbidopa/levodopa Accordion Pill (CD/LD-AP) rispetto alla carbidopa/levodopa a rilascio immediato (CD/LD-RI) in pazienti affetti da morbo di Parkinson fluttuante.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
506,2015-003512-20,Israel,Poland - Office for Medicinal Products,2016-04-01,2019-04-10,Completed,Diseases [C] - Nervous System Diseases [C10],"To assess the efficacy, safety and tolerability of Accordion Pill carbidopa/levodopa (AP-CD/LD) compared to Immediate Release carbidopa/levodopa (IR-CD/LD) in fluctuating Parkinson's Disease patients.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
508,2015-003512-20,Israel,Spain - AEMPS,2016-03-18,2019-04-10,Completed,Diseases [C] - Nervous System Diseases [C10],"To assess the safety, tolerability and efficacy of Accordion Pill carbidopa/levodopa compared to Immediate Release carbidopa/levodopa in fluctuating Parkinson's Disease patients. Evaluar la seguridad terapéutica, la tolerabilidad y la eficacia del comprimido Accordion Pill de carbidopa/levodopa en comparación con la carbidopa/levodopa de liberación inmediata en pacientes con enfermedad de Parkinson fluctuante.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
509,2015-003512-20,Israel,Hungary - National Institute of Pharmacy,2016-03-02,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"To assess the safety, tolerability and efficacy of Accordion Pill carbidopa/levodopa compared to Immediate Release carbidopa/levodopa in fluctuating Parkinson's Disease patients.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
513,2018-000942-21,United Kingdom,UK - MHRA,2019-06-12,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],The overall goal of this project is to improve patient outcomes. For this study the primary objective is to examine the effect of Arbaclofen compared to placebo on social function in children and adolescents (age 5 - 17) with Autism spectrum disorders.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
516,2015-003512-20,Israel,Slovakia - SIDC (Slovak),2016-03-04,2019-04-10,Completed,Diseases [C] - Nervous System Diseases [C10],"To assess the efficacy, safety and tolerability of Accordion Pill carbidopa/levodopa (AP-CD/LD) compared to Immediate Release carbidopa/levodopa (IR-CD/LD) in fluctuating Parkinson's Disease patients.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
