RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
841,2016-003903-79,SYL1001_IV,Interventional studies with investigational medicinal products,Sylentis SAU - Pharma Mar Group,A double-masked study of SYL1001 in patients with moderate to severe dry eye disease (DED),Not Commenced,,02/05/2017,24/07/2017,A double-masked study of SYL1001 in patients with moderate to severe dry eye disease,No,Moderate to severe dry eye disease (DED),,Yes,,"Adult , Elderly","Female , Male"
861,2016-003288-20,BN29553,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, DOUBLE BLIND, PLACEBO CONTROLLED, PARALLEL GROUP, EFFICACY AND SAFETY STUDY OF CRENEZUMAB IN PATIENTS WITH PRODROMAL TO MILD ALZHEIMER¿S DISEASE",Not Commenced,,27/04/2017,08/05/2017,An Efficacy and Safety Study of Crenezumab in Patients with Prodromal to Mild Alzheimer¿s Disease,No,Alzheimer¿s Disease,,Yes,,"Adult , Elderly","Female , Male"
881,2014-003277-42,MCLA-128-CL01,Interventional studies with investigational medicinal products,Merus N.V.,"A Phase I/II Study of MCLA-128, a full length IgG1 Bispecific Antibody Targeting HER2 and HER3, in Patients with Solid Tumors",Not Commenced,,03/08/2017,09/10/2017,"A study of the investigational drug MCLA-128 which is an antibody that is
specific to both HER2 and HER3 receptors that are associated with solid
tumors",No,Solid Tumors,Yes,,,"Adult , Elderly","Female , Male"
941,2016-003292-22,CVAY736A2201,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, placebo-controlled multicenter phase 2 dose-ranging study to assess the safety and efficacy of VAY736 in patients with primary Sjogren¿s Syndrome",Ended,,11/05/2017,09/06/2017,Study of safety and efficacy of VAY736 in patients with primary Sjogren¿s Syndrome (pSS),No,Primary Sjogren¿s syndrome,Yes,,,"Adult , Elderly","Female , Male"
981,2016-001466-28,M15-656,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Randomized, Double-Blind, Placebo Controlled, Phase 3 Study of Venetoclax in Combination with Azacitidine Versus Azacitidine in Treatment Naïve Subjects with Acute Myeloid Leukemia who are Ineligible for Standard Induction Therapy",Ended,,23/05/2017,18/09/2017,A Study of Venetoclax in Combination with Azacitidine Versus Azacitidine in previously untreated Subjects with Acute Myeloid Leukemia who are Ineligible for Standard Induction Therapy,No,Acute Myeloid Leukemia,,Yes,,"Adult , Elderly","Female , Male"
1001,2016-004566-26,3152-301-002,Interventional studies with investigational medicinal products,"Tobira Therapeutics, Inc., a subsidary of Allergan plc","A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Cenicriviroc for the Treatment of Liver Fibrosis in Adult Subjects with Nonalcoholic Steatohepatitis ",Ended,,26/05/2017,13/09/2017,"The study of an investigational drug, Cenicriviroc, for the treatment of liver fibrosis in patients with Nonalcoholic Steatohepatitis (NASH).",No,Liver fibrosis in Subjects with Nonalcoholic Steatohepatitis,,Yes,,"Adult , Elderly","Female , Male"
1002,2012-001091-11,BIA-2093-211,Interventional studies with investigational medicinal products,"Bial - Portela & Cª, S.A.                                                                           ","OPEN-LABEL, 2-DOSE LEVEL TRIAL TO EVALUATE PHARMACOKINETICS, SAFETY, AND TOLERABILITY OF ESLICARBAZEPINE ACETATE (ESL) AS ADJUNCTIVE THERAPY IN INFANTS WITH REFRACTORY EPILEPSY WITH PARTIAL-ONSET SEIZURES AGED FROM 1 MONTH TO <2 YEARS",Not Commenced,,30/06/2017,28/08/2017,"Clinical Trial to investigate the bioavailability, safety and tolerability of Eslicarbazepine Acetate as additive therapy in babies aged from 1 month to <2 years with refractory epilepsy with partial-onset seizures",Yes,refractory epilepsy with partial-onset seizures in children aged from 1 month to < 2 years,Yes,,,Under 18,"Female , Male"
1021,2016-001072-29,BIA-2093-211/EXT,Interventional studies with investigational medicinal products,"Bial - Portela & Cª, S.A.                                                                           ","OPEN-LABEL, 2-DOSE LEVEL TRIAL TO EVALUATE PHARMACOKINETICS, SAFETY, AND TOLERABILITY OF ESLICARBAZEPINE ACETATE (ESL) AS ADJUNCTIVE THERAPY IN INFANTS WITH REFRACTORY EPILEPSY WITH PARTIAL-ONSET SEIZURES AGED FROM 1 MONTH TO <2 YEARS ¿ 1-YEAR EXTENSION",Not Commenced,,30/06/2017,28/08/2017,"Clinical Trial to investigate the safety and tolerability of
Eslicarbazepine Acetate as additive therapy in babies aged from 1 month to <2 years with refractory epilepsy with partial-onset seizures for one year",Yes,"refractory epilepsy with partial-onset seizures in children aged from 1
month to < 2 years",Yes,,,Under 18,"Female , Male"
1041,2015-001088-38,BAY80-6946/17833,Interventional studies with investigational medicinal products,   Bayer AG                                                                                      ,"A Phase III, randomized, double-blind, controlled, multicenter study of intravenous PI3K inhibitor copanlisib in combination with standard immunochemotherapy versus standard immunochemotherapy in patients with relapsed indolent non-Hodgkin¿s lymphoma (iNHL) - CHRONOS-4",Ended,,05/05/2017,19/01/2018,A study investigating copanlisib in combination with standard treatment versus standard treatment alone in order to see if copanlisib improves the response to standard treatment in patients with relapsed indolent non-Hodgkin's lymphoma.,No,Patients with relapsed indolent non-Hodgkin's lymphoma,,Yes,,"Adult , Elderly","Female , Male"
1061,2016-003866-14,B5091007,Interventional studies with investigational medicinal products,PFIZER INC,"A Phase 3, Placebo-Controlled, Randomized, Observer-Blinded Study To Evaluate The Efficacy, Safety, And Tolerability Of A Clostridium Difficile Vaccine In Adults 50 Years Of Age And Older",Ended,,07/07/2017,26/06/2017,"A study to assess whether a vaccine against Clostridium difficile prevents the disease, and whether it is safe and well tolerated when given to adults 50 years of age and older",No,Primary C difficile infection (CDI) ,,Yes,,"Adult , Elderly","Female , Male"
1081,2016-002453-38,15-102-14,Interventional studies with investigational medicinal products,Nektar Therapeutics,"A Phase 3 Open-Label, Randomized, Multicenter Study of NKTR-102 versus Treatment of Physician¿s Choice (TPC) in Patients with Metastatic Breast Cancer Who Have Stable Brain Metastases and Have Been Previously Treated with an Anthracycline, a Taxane, and Capecitabine",Ended,,25/05/2017,24/08/2017,A study to compare the study drug NKTR-102 with standard treatments in breast cancer patients with stable brain metastases ,No,Metastatic breast cancer with stable brain metastases,,Yes,,"Adult , Elderly","Female , Male"
1141,2016-004062-26,BAY1067197/17582,Interventional studies with investigational medicinal products,   Bayer A.G.                                                                                       ,"A multicenter, randomized, placebo-controlled, parallel group, double blind, dose-finding Phase II trial to study the efficacy, safety, pharmacokinetic and pharmacodynamic effects of the oral partial adenosine A1 receptor agonist neladenoson bialanate over 20 weeks in patients with chronic heart failure and preserved ejection fraction",,,21/06/2017,26/06/2017,PANACHE - A phase II trial to study neladenoson bialanate over 20 weeks in patients with chronic heart failure with preserved ejection fraction ,No,chronic heart failure with preserved ejection fraction (LVEF equal or above 45%),Yes,,,"Adult , Elderly","Female , Male"
1142,2016-003410-28,CLCZ696D2302,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A 24-week, randomized, double-blind, multi-center, parallel group, active controlled study to evaluate the effect of LCZ696 on NT-proBNP, symptoms, exercise function and safety compared to individualized medical management of comorbidities in patients with heart failure and preserved ejection fraction",Ended,,25/05/2017,05/06/2017,Study to evaluate the effect of LCZ696 compared to individualized medical therapy for comorbidities in Heart Failure with preserved Ejection Fraction (HFpEF) patients,No,Heart Failure with preserved Ejection Fraction (HFpEF),,Yes,,"Adult , Elderly","Female , Male"
1181,2015-002743-33,Z7224L01,Interventional studies with investigational medicinal products,Zambon SpA,"A double-blind, placebo-controlled, multi-centre, clinical trial to investigate the efficacy and safety of 12 months of therapy with inhaled colistimethate sodium in the treatment of subjects with non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa (P. aeruginosa)",Ended,,13/07/2017,05/06/2017,"A double-blind, placebo controlled, multicentre, clinical trial to investigate the efficacy and safety of 12 months of therapy with inhaled Promixin® (colistimethate sodium) in the treatment of subjects with non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa (P. aeruginosa)",No,Non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa ,,Yes,,"Adult , Elderly","Female , Male"
1281,2017-000549-38,LIP-01-01,Interventional studies with investigational medicinal products,Laboratorios Ojer Pharma S.L,An open-label study to investigate the local tolerability and acceptability of Lipovir® Gel (Acyclovir 5%) compared to Zovirax® Cream (Acyclovir 5%) on patients with Recurrent Herpes Labialis,,,29/12/2017,29/01/2018,An open-label study to investigate the local tolerability and acceptability of Lipovir® Gel (Acyclovir 5%) compared to Zovirax® Cream (Acyclovir 5%) on patients with Recurrent Herpes Labialis,No,Herpes labialis,,,Yes,"Adult , Elderly","Female , Male"
1301,2016-002937-31,MA30143,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"An Open-Label, single-arm study to evaluate the effectiveness and safety of Ocrelizumab in patients with early stage relapsing remitting multiple sclerosis ",Active,,05/07/2017,24/07/2017,A Study to Evaluate the Effectiveness and Safety of Ocrelizumab in Patients With Early Stage Relapsing Remitting Multiple Sclerosis,No,Relapsing remitting multiple sclerosis (RRMS),,Yes,,Adult,"Female , Male"
1321,2016-004429-17,CO39303,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER TRIAL TESTING IPATASERTIB PLUS ABIRATERONE PLUS PREDNISONE/PREDNISOLONE, RELATIVE TO PLACEBO PLUS ABIRATERONE PLUS PREDNISONE/PREDNISOLONE IN ADULT MALE PATIENTS WITH ASYMPTOMATIC OR MILDLY SYMPTOMATIC, PREVIOUSLY UNTREATED, METASTATIC CASTRATE-RESISTANT PROSTATE CANCER",Ended,,04/05/2017,24/08/2017,"A Study of Ipatasertib Plus Abiraterone Plus Prednisone/Prednisolone, Relative to Placebo Plus Abiraterone Plus Prednisone/Prednisolone in Adult Male Patients With Asymptomatic or Mildly Symptomatic, Previously Untreated, Metastatic Castrate-Resistant Prostate Cancer",No,Metastatic Castrate-Resistant Prostate Cancer,,Yes,,"Adult , Elderly",Male
1341,2016-004128-42,E2609-G000-302,Interventional studies with investigational medicinal products,Eisai Limited,"A Placebo-Controlled, Double-Blind, Parallel-Group, 24-Month Study to Evaluate the Efficacy and Safety of E2609 in Subjects with Early Alzheimer¿s Disease",Ended,,04/07/2017,18/09/2017,"A Placebo-Controlled, Double-Blind, Parallel-Group, 24-Month Study to Evaluate the Efficacy and Safety of E2609 in Subjects with Early Alzheimer¿s Disease",No,Early Alzheimer Disease including mild cognitive impairment (MCI) due to AD/Prodromal AD and the early stages of mild AD,,Yes,,"Adult , Elderly","Female , Male"
1381,2016-004374-18,GS-US-384-1943,Interventional studies with investigational medicinal products,"Gilead Sciences, Inc.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Selonsertib in Subjects with Nonalcoholic Steatohepatitis (NASH) and Bridging (F3) Fibrosis.",Ended,,17/05/2017,22/09/2017,"A Clinical trial to evaluate safety, and effectiveness of Selonsertib in Subjects with Nonalcoholic Steatohepatitis (NASH) and Bridging (F3) Fibrosis.",No,Nonalcoholic Steatohepatitis (NASH),,Yes,,"Adult , Elderly","Female , Male"
1382,2016-004148-13,GS-US-384-1944,Interventional studies with investigational medicinal products,"Gilead Sciences, Inc.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Selonsertib in Subjects with Compensated Cirrhosis due to Nonalcoholic Steatohepatitis (NASH)",Not Commenced,,17/05/2017,22/09/2017,"A Clinical trial to evaluate safety, and effectiveness of Selonsertib in Subjects with Compensated Cirrhosis due to Nonalcoholic Steatohepatitis (NASH)",No,Nonalcoholic Steatohepatitis (NASH),,Yes,,"Adult , Elderly","Female , Male"
1401,2016-002629-13,CY4033,Interventional studies with investigational medicinal products,"Cytokinetics, Inc.","A Phase 3, Open-Label Extension Study of Tirasemtiv for Patients with Amyotrophic Lateral Sclerosis (ALS) who Completed VITALITY-ALS (CY 4031)",,,12/07/2017,28/08/2017,An Open-Label Extension Study for Patients Who Completed VITALITY-ALS (CY 4031),No,Amyotrophic Lateral Sclerosis (ALS),,Yes,,"Adult , Elderly","Female , Male"
1421,2016-002794-35,CPDR001F2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, placebo-controlled, phase III study comparing the combination of PDR001, dabrafenib
and trametinib versus placebo, dabrafenib and trametinib in previously untreated patients with unresectable or metastatic BRAF V600 mutant melanoma",Ended,,24/08/2017,30/10/2017,"Study of safety and efficacy of PDR001 in combination with dabrafenib and trametinib in patients with a genetically distinct subtype of unresectable or metastatic melanoma, which is characterised by a mutation in the BRAF gene  ",No,Unresectable or metastatic BRAF V600 mutant melanoma,,Yes,,"Adult , Elderly","Female , Male"
1441,2016-004648-12,CLS1003-301,Interventional studies with investigational medicinal products,"Clearside Biomedical, Inc.","SAPPHIRE: A RANDOMIZED, MASKED, CONTROLLED TRIAL TO STUDY THE SAFETY AND EFFICACY OF SUPRACHOROIDAL CLS-TA IN CONJUNCTION WITH INTRAVITREAL AFLIBERCEPT IN SUBJECTS WITH RETINAL VEIN OCCLUSION",Active,,29/09/2017,09/10/2017,"this is a phase 3, multicenter, randomized, masked, controlled, parallel group study of 12 months duration in treatment naïve subjects with RVO",No,Retinal Vein Occlusion,,Yes,,Adult,"Female , Male"
1463,2016-002778-11,E7080-G000-218,Interventional studies with investigational medicinal products,Eisai Limited,"A Randomized, Open-label (formerly Double-Blind), Phase 2 Trial to Assess Safety and Efficacy of Lenvatinib at Two Different Starting Doses (18 mg vs. 14 mg QD) in Combination with Everolimus (5 mg QD) in Renal Cell Carcinoma Following One Prior VEGF-Targeted Treatment",Active,,30/05/2017,07/05/2019,"A Randomized, Open-label (formerly Double-Blind), Phase 2 Trial to investigate how safe and how efficacious  Lenvatinib  is at two different starting doses (18 mg vs. 14 mg QD) when it is given in Combination with Everolimus (5 mg once a day ) in patients with  Renal cancer that have already had one VEGF-Targeted Treatment",No,Advanced renal cell carcinoma,Yes,,,"Adult , Elderly","Female , Male"
1501,2015-003910-26,01/2015,Interventional studies with investigational medicinal products,Núcleo de Estudos de Hipertensão da Beira Interior,"Fase II, unicenter, open, randomized trial to evaluate the response of Th17 and T regulatory lymphocytes to 24 weeks supplementation with cholecalciferol in patients with arterial hypertension, obesity and vitamin D deficiency. ",Not Commenced,,18/07/2017,11/12/2017,"Effects of cholecalciferol supplementation in peripheral blood leucocytes in patients with arterial hypertension, obesity and vitamin D deficiency.",No,"Obesity associated arterial hypertension
Metabolic syndrome associated arterial hypertension",Yes,,,Adult,"Female , Male"
1521,2016-002855-48,BAY1002670/15789,Interventional studies with investigational medicinal products,   Bayer A.G.                                                                                       ,"A randomized, parallel-group, multicenter study to assess the efficacy and safety of vilaprisan in subjects with uterine fibroids",Active,,31/07/2017,28/08/2017,Assess Safety and Efficacy of Vilaprisan in Subjects with Uterine Fibroids,No,Leiomyoma,,Yes,,Adult,Female
1621,2017-000657-39,0217/DEV,Interventional studies with investigational medicinal products,Develco Pharma Schweiz AG,"Randomised, double-blind, placebo-controlled, parallel-group, multi-centre, phase III trial to investigate the efficacy, safety and tolerability of Naloxone HCl PR Tablets in patients with opioid induced constipation",Ended,,19/07/2017,28/08/2017,"Clinical study to investigate the efficacy, safety and tolerability of Naloxone in patients with opioid induced constipation.",No,Opioid induced constipation,,Yes,,"Adult , Elderly","Female , Male"
1641,2016-005230-30,SPX-101-CF-201,Interventional studies with investigational medicinal products,"Spyryx Biosciences, Inc.","A Randomized, Double-Blind, Placebo-Controlled Phase II Study to Evaluate the Efficacy and Safety of SPX-101 Inhalation Solution in Subjects with Cystic Fibrosis (HOPE-1 STUDY: HYDRATION FOR OPTIMAL PULMONARY EFFECTIVENESS)",Active,,04/08/2017,28/08/2017, A research study to find out if SPX-101 helps people with Cystic Fibrosis and to find out if it is safe.,No,Cystic Fibrosis,Yes,,,Adult,"Female , Male"
1681,2016-004967-38,M16-135,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Single Arm, Open-label Study to Evaluate the Efficacy and Safety of Glecaprevir (GLE)/Pibrentasvir (PIB) in Treatment Naïve Adults with Chronic Hepatitis C Virus (HCV) Genotype 1, 2, 4, 5 or 6 Infection and Compensated Cirrhosis",Ended,,08/06/2017,18/09/2017,"A Single Arm, Open-label Study to Evaluate the Efficacy and Safety of Glecaprevir (GLE)/Pibrentasvir (PIB) in Treatment Naïve Adults with Chronic Hepatitis C Virus (HCV) Genotype 1, 2, 4, 5 or 6 Infection and Compensated Cirrhosis",No,HCV,,Yes,,"Adult , Elderly","Female , Male"
1741,2016-004359-57,CanStem111P,Interventional studies with investigational medicinal products,"Sumitomo Dainippon Pharma Oncology, Inc",A Phase III Study of BBI-608 plus nab-Paclitaxel with Gemcitabine in Adult Patients with Metastatic Pancreatic Adenocarcinoma.,Ended,,29/08/2017,30/10/2017,"The aim of this study is to see how well an investigational drug (called
BBI-608) works when it is given in combination with a standard anticancer
treatment for people with advanced pancreatic cancer.",No,This study will enroll patients with histologically or cytologically confirmed adenocarcinoma of the pancreas that is metastatic (Stage IV). ,,Yes,,"Adult , Elderly","Female , Male"
1781,2016-003123-32,M16-006,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study of the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Crohn's Disease",Active,,20/07/2017,02/10/2017,A Study of the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Crohn's Disease,No,Crohn's Disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
1782,2016-003190-17,M15-991,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study to Assess the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Crohn's Disease Who Failed Prior Biologic Treatment",Active,,20/07/2017,02/10/2017,A Study of the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Crohn's Disease.,No,Crohn's disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
1783,2016-003191-50,M16-000,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects with Crohn's Disease
",Ended,,20/07/2017,02/10/2017,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects with Crohn's Disease
",No,Crohn's disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
1841,2016-001224-63,CNTO1959PSA3002,Interventional studies with investigational medicinal products,"Janssen-Cilag Farmacêutica, Lda.","A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Study Evaluating the Efficacy and Safety of Guselkumab Administered Subcutaneously in Subjects with Active Psoriatic Arthritis",,,17/10/2017,27/12/2017,A Phase 3 Study of Guselkumab in Subjects with Active Psoriatic Arthritis,No,Active Psoriatic Arthritis,,Yes,,"Adult , Elderly","Female , Male"
1861,2015-003166-91,CETB115E2201,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A phase II, open-label, non-controlled, intra-patient dose escalation study to characterize the pharmacokinetics after oral administration of eltrombopag in pediatric patients with refractory, relapsed or treatment naïve severe aplastic anemia or recurrent aplastic anemia.",Ended,,15/12/2017,23/08/2018,"A phase II dose-escalation study characterizing the PK of eltrombopag in pediatric patients with previously untreated or relapsed severe aplastic anemia or recurrent aplastic anemia.
",Yes,"Refractory, relapsed or treatment naïve severe aplastic anemia (SAA) or recurrent aplastic anemia (AA)",Yes,,,Under 18,"Female , Male"
1881,2017-000070-11,MK-6072-001,Interventional studies with investigational medicinal products,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co. Inc.","A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of a Single Infusion of Bezlotoxumab (MK 6072, Human Monoclonal Antibody to C. difficile Toxin B) in Children Aged 1 to <18 Years Receiving Antibacterial Drug Treatment for C. difficile Infection (MODIFY III)",Active,,10/10/2017,19/01/2018,The study of Bezlotoxumab (MK-6072) versus placebo in children with Clostridium Difficile (CDI) diarrhea,Yes,Prevention of recurrent Clostridium difficile infection (CDI),,Yes,,Under 18,"Female , Male"
1901,2016-000280-16,CEMA401A2201,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A double-blind, placebo-controlled, randomized dose ranging trial to determine the safety and efficacy of three dose levels of EMA401 in reducing 24-hour average pain intensity score in patients with post-herpetic neuralgia",,,27/09/2017,04/12/2017,Dose response study of EMA401 in patients with post-herpetic neuralgia (PHN),No,Post-herpetic neuralgia,Yes,,,"Adult , Elderly","Female , Male"
1921,2016-004130-24,M15-572,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Phase 3, Randomized, Double-Blind, Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Subjects with Active Psoriatic Arthritis Who Have a History of Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug (DMARD) ¿ SELECT ¿ PsA 1",Ended,,19/07/2017,18/09/2017,A Study Comparing ABT-494 to Placebo and to Adalimumab in Subjects with Psoriatic Arthritis Who Have an Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug,No,Moderately to Severely Active Psoriatic Arthritis,,Yes,,"Adult , Elderly","Female , Male"
